caseid,name_indicator,eventcode,EVENTCODEDATE,sex,age,pre_marriagestat,current_marriagestat,white,black,hispanic,schooling,left.b.a,evac.state,state.most.time,lives.NO.still,same.home,month.returned,year.returned,fulltime,partime,selfempfull,selfemppart,laidoff,unemployed,disabled,student,health.before,health.after,received.metal.care,life.quality,mobile,apartment,singlefam,duplex,own.rent,res.damage,income,stayed.first.month,q31,q32,q33,q34,q35,q36,q37
11504,1,491,19-Sep-06,2,31,5,5,1, , ,3,2,GA,LA,3, , , ,1, , , , , , , ,1,4,2,3, , ,3, ,1,2,6,1,1,4,1,3,1,3,10
11512,1,161,27-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11516,1,492,26-Sep-06,1,57,1,1,1, , ,6,2,LA,LA,1,1,11,2005,1, , , , , , , ,1,1,2,2, , ,3, ,1,3,7,4,3,5,3,4,5,5,5
11522,1,491,25-Oct-06,2,34,5,5,1, , ,6,1,GA,LA,3, , , ,1, , , , , , , ,2,3,2,1, , , ,4,1,3,3,4,3,5,4,5,3,5,9
11531,1,491,4-Oct-06,2,25,5,1,1, , ,6,1,LA,LA,1,2,10,2005,1, , , ,5, , , ,1,4,1,3, , , ,4,2,3,7,4,1,1,1,1,2,2,8
11534,1,492,22-Sep-06,1,63,1,1,1, , ,6,1,LA,AL,1,1,10,2005, , ,3, , , , , ,3,3,1,3, , , ,4,1,3, ,5,2,3,2,3,2,3,5
11541,1,400,8-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11548,1,420,3-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11551,1,491,17-Oct-06,2,73,3,3,1, , ,5,1,TX,TX,1,1,1,2006, , , , , , , , ,2,2,2,2, , ,3, ,1,3,7,1,3,5,4,5,4,5,5
11556,1,492,25-Sep-06,1,65,1,1,1, , ,6,1,TX,TX,1,1,9,2005,1, , , , , , , ,1,1,1,3, , ,3, ,1,4,7,5,4,5,5,5,5,5,4
